reversion_init,word_init,reversion_detal1,reversion_week1,word_week1,reversion_detal2,reversion_week2,word_week1,reversion_detal3,reversion_week3,word_week3,reversion_detal4,reversion_week4,word_week4,reversion_month,word_month,revert,log_word_month
4.00,775.5714286,-1.71,2.29,-1733.285714,-2.285714286,0,0,0,0,0,0,0,0,0.571428571,-433.3214286,1,2.64
24.71,4178.428571,-11.00,13.71,9472.428571,10.28571429,24,12076.28571,6.857142857,30.85714286,10852.85714,-5.857142857,25,15707.57143,23.39285714,12027.28571,1,4.08
0.29,12.71428571,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,0,-0.14,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,104.5714286,-0.14,0.00,0,0.142857143,0.142857143,41.28571429,-0.142857143,0,0,0,0,0,0.035714286,10.32142857,1,1.05
1.71,560.5714286,0.43,2.14,359,1,3.142857143,697.7142857,-1.428571429,1.714285714,466.2857143,-1.285714286,0.428571429,95.42857143,1.857142857,404.6071429,1,2.61
0.43,90.28571429,-0.29,0.14,0.857142857,0.428571429,0.571428571,124.8571429,-0.571428571,0,0,2.142857143,2.142857143,458.8571429,0.714285714,146.1428571,1,2.17
7.86,-762.7142857,-0.29,7.57,1971.428571,-5.571428571,2,-141.7142857,7.571428571,9.571428571,535.8571429,-6.285714286,3.285714286,-1476.285714,5.607142857,222.3214286,1,2.35
12.86,858,-12.29,0.57,69.28571429,-0.571428571,0,0,1,1,80.28571429,-1,0,0,0.392857143,37.39285714,1,1.58
0.29,72.42857143,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
0.14,2.428571429,-0.14,0.00,0,0.142857143,0.142857143,0,0,0.142857143,0.428571429,0,0.142857143,-1.571428571,0.107142857,-0.285714286,1,-0.15
0.43,69.28571429,0.00,0.43,-3.857142857,-0.285714286,0.142857143,37.57142857,-0.142857143,0,0,0,0,0,0.142857143,8.428571429,1,0.97
379.14,2955.714286,-377.86,1.29,472.4285714,4.142857143,5.428571429,3941.285714,-4.428571429,1,800.5714286,0.571428571,1.571428571,437.4285714,2.321428571,1412.928571,1,3.15
8.00,-77.57142857,26.71,34.71,3956.857143,-5,29.71428571,7014.428571,-3.857142857,25.85714286,19062.85714,3.714285714,29.57142857,6948.571429,29.96428571,9245.678571,1,3.97
10.29,2339.428571,7.14,17.43,686.7142857,-12,5.428571429,208,2.714285714,8.142857143,1095.857143,-5.857142857,2.285714286,-36.28571429,8.321428571,488.5714286,1,2.69
0.29,15.57142857,-0.29,0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
